,Pickup_longitude,Pickup_latitude,size,label
290,-73.9888689118,40.7025922523,84570.0,0.0
291,-73.9640522267,40.7092984635,651.0,1.0
292,-73.9504830479,40.7068543155,1899.0,2.0
293,-73.9590574045,40.708849545,9795.0,3.0
294,-73.9686118304,40.7090722423,354.0,4.0
295,-73.9683759863,40.7075083039,264.0,5.0
296,-73.9670499255,40.7092993943,429.0,6.0
297,-73.9670337658,40.707304276,603.0,7.0
298,-73.9666042436,40.7051791606,531.0,8.0
299,-73.9583384627,40.7016467078,354.0,9.0
300,-73.960032335,40.7031569125,402.0,10.0
301,-73.9644109792,40.7075538635,174.0,11.0
302,-73.9811786514,40.7026166801,249.0,12.0
303,-73.9573339206,40.7004917202,201.0,13.0
304,-73.9228104775,40.7065779144,4347.0,0.0
305,-73.94794317,40.7041437637,669.0,1.0
306,-73.9398402777,40.7076613269,3810.0,2.0
307,-73.9381745828,40.7085711505,222.0,3.0
308,-73.943080754,40.7066544784,2241.0,4.0
309,-73.9370346069,40.7019581767,507.0,5.0
310,-73.9420938379,40.7009528688,5319.0,6.0
311,-73.9324676603,40.7051473164,6147.0,7.0
312,-73.92632291,40.7033938685,846.0,8.0
313,-73.933041838,40.7094342733,291.0,9.0
314,-73.918653588,40.7039479868,1089.0,10.0
315,-73.9497397529,40.7051441051,405.0,11.0
316,-73.9286919627,40.7047223716,696.0,12.0
317,-73.9296603136,40.7029551654,213.0,13.0
318,-73.9480699989,40.7069732542,369.0,14.0
319,-73.9462062163,40.7032367033,255.0,15.0
320,-73.9257239885,40.7007140293,279.0,16.0
321,-73.9224072279,40.7089518206,663.0,17.0
322,-73.9223463579,40.7010564631,165.0,18.0
323,-73.8076196341,40.7004769322,27279.0,0.0
324,-73.8003609547,40.7030946367,1113.0,1.0
325,-73.8028036219,40.7076788458,393.0,2.0
326,-73.8158324953,40.700525859,945.0,3.0
327,-73.8308637347,40.7001883916,210.0,4.0
328,-73.8302614424,40.708864318,756.0,5.0
329,-73.8321912514,40.7030077161,318.0,6.0
330,-73.8317190503,40.7060979571,945.0,7.0
331,-73.8315453163,40.701576343,312.0,8.0
332,-73.8187262671,40.709071391,840.0,9.0
333,-73.8327581406,40.704364872,240.0,10.0
334,-73.8094046393,40.7052528692,516.0,11.0
